"1","1","Grade 12 Advanced Functions"
"2","1","Grade 12 Calculus and Vectors"
"3","1","Grade 12 Data Management"
"4","1","Grade 12 Chemistry"
"5","1","Grade 12 Biology"
"6","1","Grade 12 Physics"
"7","1","tutoring: 1 year (Preferred)"
"8","1","Toronto, ON (Preferred)"
"9","2","Responsible for method development, validation and transfer of methods used in testing of biopharmaceutical products or raw materials."
"10","2","Responsible for complex decision making and re-evaluation, optimisation and troubleshooting of methodologies as required by clients."
"11","2","Responsible for providing guidance to and overseeing analysts within the Analytical Operations regarding the performance of their activities related to department."
"12","2","Responsible for leading technical discussions with clients and managing small to mid-sized projects to ensure completion in a timely manner to the satisfaction of both SGS and client management."
"13","2","Execute experiments, following the company’s Standard Operating Procedures, Deviations and Change Control programs and cGMP guidelines."
"14","2","Write and Review technical data, documents, SOPs and proposals as required."
"15","2","Assist in the failure investigations within other SGS groups and design investigation protocols and suggest corrective actions."
"16","2","Minimum of BSc/MSc in a relevant field with 5 years of relevant laboratory work experience required."
"17","2","Ability to perform routine and complex bench and instrumental analysis ."
"18","2","A willingness to learn new analytical tests, instrumentation and procedures."
"19","2","Experience in computer programs e.g. Excel and Word."
"20","2","Able to work well under pressure during high (peak) work loads and balancing conflicting demands of high volume versus the quality of results."
"21","2","Extended hours and shift work is required."
"22","3","Undergraduate or Master's (preferred) degree in Computer Science, IT, or Mathematics."
"23","3","
Proven 3-5 years' experience in implementing data analytics solutions in cloud environments using AI/ML technologies, including supervised and unsupervised learning, probabilistic inference and/or statistical data modeling."
"24","3","
Strong business analytics acumen is a must, preferably with retail experience."
"25","3","
Experience in delivering real-time data analytics products, working with tight deadlines, and be comfortable with contributing with evolving pipelines and cloud architectures."
"26","3","
Solid knowledge in databases, hands-on experience in SQL, and Python at a proficient level is required."
"27","3","
Demonstrated work experience working with enterprise-level data, preferably in a retail environment."
"28","3","
Proficient with JIRA, Confluence, GIT, Stash, and production-level CI/CD Pipelines."
"29","3","Manage a team of data engineers, analysts and data scientists, responsible to own a range of cutting-edge data analytics products focused on business process and operations improvements for various business units"
"30","3","
Work closely with cross-functional business owners to drive data and analytics technologies for business use."
"31","3","
Lead sustainability efforts, drive accountability via documentation of data solutions, and transparency to further improve understanding of data and analytics throughout the team and the organization as-a-whole."
"32","3","
Swiftly and effectively communicating insights, findings, test results, performance analysis to both functional teams, and the senior management along with recommendations for improvements and strategy."
"33","3","
Coach and mentor team members. Resolve conflicts and identify professional development opportunities supporting the growth of individuals in the team."
"34","3","
Provide clear and precise directions to the team for designing, developing, testing and productionizing data and analytics pipelines."
"35","3","
Bring strong and delivery-oriented product ownership to all data and analytics initiatives to support business operations and also improve operational efficiency and effectiveness."
"36","3","
Be a subject matter expert in supervised and unsupervised ML algorithms and other applied AI techniques to derive meaningful and actionable insights from data."
"37","3","
To design, develop and implement predictive/analytical tools and statistical data modeling for complex business operations and processes."
"38","4","Identify valuable data sources and automate collection processes"
"39","4","Undertake preprocessing of structured and unstructured data"
"40","4","Analyze large amounts of information to discover trends and patterns"
"41","4","Build predictive models and machine-learning algorithms"
"42","4","Combine models through ensemble modeling"
"43","4","Present information using data visualization techniques"
"44","4","Propose solutions and strategies to business challenges"
"45","4","Select and use the right tools, frameworks, languages, and technologies for the job, with a preference for open-source solutions"
"46","4","Collaborate with others as part of a cross-functional team that includes user experience researchers and designers, product managers, engineers, and other functional specialist."
"47","4","Collect and preprocess data as per the requirement of AI team"
"48","4","Collect and find raw data sources from sources as per the requirement of the project"
"49","4","In-depth knowledge of computer science, statistics, and/or mathematics"
"50","4","Experience using advanced statistical and data-mining techniques such as regression, properties of distributions, and statistical tests"
"51","4","Expertise in programming languages/frameworks such as Java/Scala, R, Python, and SQL"
"52","4","Experience with distributed data/computing tools such as Spark, Hadoop, and Hive"
"53","4","Experience using web services such as Redshift and S3"
"54","4","Expertise in machine learning and deep-learning libraries such as Scikit-Learn, TensorFlow, Keras, PyTorch, and Apache Spark MLlib"
"55","4","Experience using business intelligence tools such as Tableau, SAS, Microstrategy, and Looker"
"56","4","Experience working with notebooks such as Jupyter, Zeppelin, and Databricks Notebook"
"57","4","Strong analytical and problem-solving skills"
"58","4","Strong business acumen and curiosity"
"59","4","A drive to learn and master new technologies and techniques"
"60","4","Ability to select and use the right tools for the job, particularly open-source solutions"
"61","4","Ability to communicate clearly to technical and non-technical audiences"
"62","5","Be responsible for the intake, and prepare for return, forensic evidence items from/to investigating agencies across Ontario"
